time_min,time_s,temperature_C
0,0,27.5
1,60,27.9
2,120,28.9
3,180,29.3
4,240,29.7
5,300,30.3
6,360,31.0
8,480,31.8
10,600,32.2
12,720,33.8
15,900,34.6
20,1200,35.8
25,1500,37.7
30,1800,38.5
35,2100,40.1
