eva,model,N,t_end_s,T0_C,Tamb_C,Tss_C,dT_C,tau_s,tau_h,rmse_C,C_J/K,UA_W/K,Q_ident_W,Q_known_W
eva1,ana002 (機内+ミスト),20,20000,19.05,19.50,21.20,1.70,10758,2.99,0.126,1.024e+06,95.15,161.6,
eva2,ana002 (機内+ミスト),20,20000,19.05,19.50,21.20,1.70,10758,2.99,0.126,1.024e+06,95.15,161.6,
eva4,ana003 TempCtrl (温度管理あり),20,25200,23.80,24.50,24.46,-0.04,9984,2.77,0.028,1.024e+06,102.53,-4.1,
eva5,ana003 NoTemp (温度管理なし),20,100000,24.52,24.41,37.79,13.39,22050,6.12,0.238,1.024e+06,46.42,621.4,610
