time_s,U4-1,U4-2,U4-3,U4-4,U1-2,U1-4
0,27.5,27.0,26.5,28.5,27.0,27.0
500,25.0,24.5,25.0,25.2,24.5,24.8
1000,29.5,28.0,25.2,25.3,28.5,29.0
2000,37.0,34.5,25.1,25.5,35.5,36.0
3000,41.5,38.0,25.0,26.2,38.5,39.0
4000,43.2,39.2,24.9,26.3,39.5,40.2
5000,43.5,39.7,25.0,26.5,40.0,40.8
6000,43.6,39.6,24.9,25.7,39.9,40.7
7000,44.1,39.7,25.0,26.1,40.0,40.8
8000,44.5,39.8,25.0,26.3,40.1,40.8
9000,44.5,40.0,24.9,26.4,40.2,40.9
